,Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,Stream,most_playedon,duration_ms,explicit,year,popularity,key,genre
1342,One Direction,Drag Me Down,Made In The A.M. (Deluxe Edition),album,0.73,0.703,-5.672,0.0369,0.109,0.0,0.0657,0.595,138.113,3.202,1026059927,9320803,2469841,True,920989113,Youtube,192120,False,2015,79,0,pop
1343,One Direction,Best Song Ever,Midnight Memories (Deluxe),album,0.652,0.877,-2.986,0.0465,0.0227,0.0,0.0789,0.486,118.491,3.3351166666666665,774352951,6784351,997147,True,447745414,Youtube,200106,False,2013,76,1,pop
1344,Charlie Puth,Attention,Voicenotes,album,0.775,0.613,-4.586,0.0542,0.109,2.33e-05,0.134,0.797,100.066,3.479783333333333,1435380634,10238525,239190,True,1453272135,Spotify,211475,False,2017,0,3,pop
1345,NewJeans,Attention,NewJeans 1st EP 'New Jeans',single,0.811,0.648,-3.684,0.0368,0.236,0.0,0.0761,0.695,104.988,3.001116666666667,41370607,1424462,38484,True,0,Youtube,211475,False,2017,0,3,pop
1346,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,album,0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017,3.62845,2925709616,13643149,395627,True,1468031758,Youtube,217706,False,2016,79,1,pop
1347,Charlie Puth,How Long,Voicenotes,album,0.845,0.561,-5.253,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,3.34755,674149946,4542521,152490,True,587663055,Youtube,200853,False,2018,72,1,pop
1348,Charlie Puth,One Call Away,Nine Track Mind,album,0.667,0.613,-5.353,0.0344,0.403,0.0,0.115,0.47,91.024,3.240883333333333,797478569,4930008,145294,True,696944617,Youtube,276800,False,2003,61,4,"hip hop, pop, R&B"
1349,Offset,Ric Flair Drip (with Metro Boomin),Without Warning,album,0.88,0.428,-8.28,0.206,0.149,5.05e-05,0.114,0.333,100.007,2.88,444483852,2952185,74244,True,1131962910,Spotify,172800,True,2017,80,9,"hip hop, pop"
1350,Metro Boomin,Ric Flair Drip (with Metro Boomin),Without Warning,album,0.88,0.428,-8.28,0.206,0.149,5.05e-05,0.114,0.333,100.007,2.88,444483861,2952186,74244,True,1131962910,Spotify,172800,True,2017,80,9,"hip hop, pop"
1351,Offset,Clout (feat. Cardi B),FATHER OF 4,album,0.919,0.622,-7.384,0.0997,0.228,4.24e-06,0.122,0.424,140.022,3.43005,467393771,3524423,124085,True,267492318,Youtube,205803,True,2019,68,1,"hip hop, pop"
