artist,Track,duration_ms,explicit,year,popularity,key,genre
Ashanti,Rain On Me,297960,FALSE,2003,50,8,"hip hop, pop, R&B"
Trapt,Headstrong,285569,TRUE,2002,72,4,"rock, metal"
Simply Red,Sunrise,199040,FALSE,2008,58,5,"rock, R&B, Folk/Acoustic, pop"
Lumidee,"Never Leave You (Uh Oooh, Uh Oooh)",184906,FALSE,2003,61,6,"pop, R&B"
Girls Aloud,Sound Of The Underground,221426,FALSE,2003,58,11,"pop, Dance/Electronic"
Nelly,Shake Ya Tailfeather (feat. P. Diddy & Murphy Lee) - 2016 Remaster,293666,FALSE,2016,52,1,"hip hop, pop, R&B"
Room 5,Make Luv,212413,FALSE,2003,57,1,Dance/Electronic
Fatman Scoop,Be Faithful,164506,TRUE,2009,49,7,hip hop
Limp Bizkit,Behind Blue Eyes,269973,FALSE,2003,70,7,metal
Sugababes,Too Lost In You,237693,FALSE,2003,58,1,"pop, R&B"
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",219400,TRUE,2003,57,1,"hip hop, pop"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,236506,TRUE,2003,67,9,"hip hop, pop"
Chingy,Right Thurr,250746,TRUE,2003,69,2,"hip hop, pop, R&B"
Eminem,Sing For The Moment,339546,TRUE,2002,71,5,hip hop
Lil' Kim,The Jump Off (feat. Mr. Cheeks) - Remix,234800,TRUE,2003,48,1,"hip hop, pop, R&B"
Mýa,My Love Is Like...Wo - Main Mix,209533,FALSE,2003,48,4,"pop, R&B"
50 Cent,21 Questions,224440,TRUE,2003,72,6,"hip hop, pop"
Nelly,Air Force Ones,304000,TRUE,2002,61,4,"hip hop, pop, R&B"
Missy Elliott,Gossip Folks (feat. Ludacris),234893,TRUE,2002,57,0,"hip hop, pop, R&B"
Girls Aloud,Jump,220360,FALSE,2003,60,8,"pop, Dance/Electronic"
Ultrabeat,Pretty Green Eyes - Radio Edit,201920,FALSE,2003,59,1,"pop, Dance/Electronic"
Christina Aguilera,Fighter,245960,FALSE,2002,67,4,pop
Frankie J,Don't Wanna Try,245293,FALSE,2003,49,5,"hip hop, pop, R&B"
Snoop Dogg,Beautiful,299146,TRUE,2005,67,11,"hip hop, pop"
Floetry,Say Yes,268373,FALSE,2002,57,5,"hip hop, pop, R&B"
Ginuwine,In Those Jeans,243306,TRUE,2003,59,1,"hip hop, pop, R&B"
Electric Six,Danger! High Voltage - Soulchild Radio Mix,214600,FALSE,2003,0,11,rock
Rachel Stevens,Sweet Dreams My LA Ex - Radio Edit,208386,FALSE,2003,38,2,"pop, Dance/Electronic"
Ludacris,Stand Up,213760,TRUE,2003,57,6,"hip hop, pop"
Nas,I Can,253720,FALSE,2002,58,6,hip hop
3 Doors Down,When I'm Gone,260333,FALSE,2002,67,7,"pop, rock, metal"
Tyrese,How You Gonna Act Like That,294693,FALSE,2002,60,3,"hip hop, pop, R&B"
Justin Timberlake,Cry Me a River,288333,FALSE,2002,73,8,pop
Westlife,Mandy,199320,FALSE,2003,57,5,pop
No Doubt,It's My Life,226053,FALSE,2003,60,8,"rock, pop"
Amanda Perez,Angel,218760,FALSE,2003,48,0,"pop, R&B"
JAY-Z,Excuse Me Miss,281240,TRUE,2002,56,6,hip hop
Coldplay,Clocks,307879,FALSE,2002,79,5,"rock, pop"
Kelly Rowland,Stole,249293,FALSE,2002,54,7,"hip hop, pop, R&B"
Missy Elliott,Work It,263226,TRUE,2002,70,1,"hip hop, pop, R&B"
Ashanti,Rock Wit U (Awww Baby),209120,FALSE,2003,65,4,"hip hop, pop, R&B"
Junior Senior,Move Your Feet,181826,FALSE,2002,67,9,pop
Audioslave,Like a Stone,293960,FALSE,2002,75,7,"rock, metal"
Sean Paul,Like Glue,232506,FALSE,2002,61,1,"hip hop, pop"
Jaheim,Put That Woman First,245773,TRUE,2002,55,5,"pop, R&B"
Jennifer Lopez,All I Have (feat. LL Cool J),254466,FALSE,2002,60,1,"hip hop, pop, R&B"
Monica,So Gone,242773,FALSE,2003,64,8,"pop, R&B"
Dido,White Flag,240040,FALSE,2003,44,5,pop
The Roots,The Seed (2.0),267933,TRUE,2002,63,7,hip hop
Chingy,Holidae In,314400,TRUE,2003,61,7,"hip hop, pop, R&B"
Fabolous,Can't Let You Go (feat. Mike Shorey & Lil' Mo),223973,TRUE,2003,61,9,"hip hop, pop, R&B"
Kelly Clarkson,Miss Independent,214773,FALSE,2003,47,11,"pop, R&B"
Ja Rule,Mesmerize,278693,TRUE,2002,61,1,"hip hop, pop, R&B"
Matchbox Twenty,Unwell,228706,FALSE,2002,63,6,"pop, rock"
Outkast,The Way You Move (feat. Sleepy Brown),234000,TRUE,2003,66,5,"hip hop, pop"
Fabolous,Into You (feat. Tamia),295773,TRUE,2003,67,7,"hip hop, pop, R&B"
Switchfoot,Meant to Live,201373,FALSE,2003,61,2,"rock, pop"
Daniel Bedingfield,If You're Not The One,257026,FALSE,2002,58,10,pop
Good Charlotte,Lifestyles of the Rich & Famous,190173,FALSE,2002,68,1,"rock, metal"
Wayne Wonder,No Letting Go,202013,FALSE,2003,63,5,"hip hop, R&B"
The Strokes,Reptilia,219826,FALSE,2003,74,9,rock
Avril Lavigne,I'm with You,223066,FALSE,2002,70,9,pop
Will Young,Leave Right Now,214733,FALSE,2003,55,6,pop
Usher,Yeah! (feat. Lil Jon & Ludacris),250373,FALSE,2004,81,2,"hip hop, pop, R&B"
Maroon 5,This Love,206200,FALSE,2002,77,5,pop
Britney Spears,Toxic,198800,FALSE,2003,81,5,pop
Outkast,Hey Ya!,235213,FALSE,2003,80,4,"hip hop, pop"
Hoobastank,The Reason,232800,FALSE,2003,79,4,"pop, rock, metal"
Anastacia,Left Outside Alone,257426,FALSE,2004,65,2,pop
Daddy Yankee,Gasolina,192600,FALSE,2004,11,0,latin
Black Eyed Peas,Let's Get It Started - Spike Mix,217733,FALSE,2004,53,11,"hip hop, pop"
O-Zone,Dragostea Din Tei,215431,FALSE,2004,56,0,pop
Terror Squad,Lean Back,247426,TRUE,2004,67,1,hip hop
Anastacia,Sick and Tired,212266,FALSE,1999,56,0,pop
Gwen Stefani,What You Waiting For?,221226,FALSE,2004,60,5,"pop, R&B"
Ashanti,Only U - No Intro,186306,FALSE,2004,56,6,"hip hop, pop, R&B"
The Rasmus,In the Shadows,257920,FALSE,2003,68,2,metal
Houston,I Like That,236520,FALSE,2004,59,10,"hip hop, pop"
Beyoncé,Naughty Girl,208600,FALSE,2003,63,6,"pop, R&B"
Linkin Park,Numb,185586,FALSE,2003,81,9,"rock, metal"
Lloyd Banks,On Fire,187280,TRUE,2004,61,8,"hip hop, pop"
Akon,Locked Up,235066,TRUE,2004,16,7,pop
D12,My Band,298773,TRUE,2004,73,1,"hip hop, pop, rock"
Jay Sean,Eyes On You - Radio Mix,190493,FALSE,2004,42,7,"hip hop, pop, R&B"
Mario Winans,I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster,257333,FALSE,2016,66,11,pop
Destiny's Child,Lose My Breath,242013,FALSE,2004,61,1,"pop, R&B"
Eric Prydz,Call on Me - Radio Mix,171360,FALSE,2004,72,10,"pop, Dance/Electronic"
Ciara,Goodies (feat. Petey Pablo),223000,FALSE,2004,67,5,"pop, R&B"
Kelis,Trick Me,206106,TRUE,2003,63,1,"pop, R&B, Dance/Electronic"
LL Cool J,Headsprung,267320,FALSE,2004,56,0,"hip hop, pop, R&B"
Spiderbait,Black Betty - Edit,205973,FALSE,2004,63,7,rock
George Michael,Amazing,265826,FALSE,2004,57,10,set()
Britney Spears,My Prerogative,213893,FALSE,2004,53,10,pop
Nina Sky,Move Ya Body,232000,FALSE,2004,67,11,"pop, R&B"
Baby Bash,Suga Suga,239026,FALSE,2003,73,5,"hip hop, pop, R&B, latin"
Petey Pablo,Freek-A-Leek,235186,TRUE,2003,56,2,"hip hop, pop"
JAY-Z,Dirt Off Your Shoulder,245173,TRUE,2003,53,1,hip hop
Juanes,La Camisa Negra,216706,FALSE,2004,70,6,"pop, latin"
Avril Lavigne,Nobody's Home,212413,FALSE,2004,61,5,pop
Robbie Williams,Radio,233600,FALSE,2004,33,5,"pop, rock"
Black Eyed Peas,Hey Mama,214893,TRUE,2003,49,4,"hip hop, pop"
Ying Yang Twins,Salt Shaker,252440,TRUE,2003,61,11,"hip hop, pop"
Enrique Iglesias,Not In Love - Radio Mix,223133,FALSE,2003,37,0,"pop, latin"
Kelis,Milkshake,182626,FALSE,2003,68,1,"pop, R&B, Dance/Electronic"
Linkin Park,Breaking the Habit,196906,FALSE,2003,68,4,"rock, metal"
JoJo,Leave (Get Out) - Radio Edit,242746,FALSE,2005,49,5,"hip hop, pop, R&B"
Christina Milian,Dip It Low,197186,FALSE,2004,45,11,"hip hop, pop, R&B"
Avant,Read Your Mind,263506,FALSE,2003,56,8,"pop, R&B"
Eminem,Just Lose It,248680,TRUE,2004,67,8,hip hop
Sugababes,Too Lost In You,237693,FALSE,2003,58,1,"pop, R&B"
Snoop Dogg,Drop It Like It's Hot,266066,TRUE,2004,39,1,"hip hop, pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),273360,FALSE,2002,68,7,"hip hop, pop"
The Shapeshifters,Lola's Theme - Radio Edit,207066,FALSE,2004,65,5,Dance/Electronic
D12,How Come,249533,TRUE,2004,57,9,"hip hop, pop, rock"
Basement Jaxx,Good Luck,282306,FALSE,2003,0,5,"pop, Dance/Electronic"
Kevin Lyttle,Turn Me On,192106,FALSE,2004,67,9,hip hop
Chingy,One Call Away,276800,FALSE,2003,61,4,"hip hop, pop, R&B"
T.I.,Bring Em Out,216706,TRUE,2004,63,11,"hip hop, pop"
DJ Casper,Cha Cha Slide - Hardino Mix,222146,FALSE,2004,51,11,set()
Kylie Minogue,I Believe in You,200973,FALSE,2004,47,7,"pop, Dance/Electronic"
Twista,Overnight Celebrity,233360,TRUE,2004,66,10,"hip hop, pop, R&B"
N.E.R.D,She Wants To Move,213786,FALSE,2004,57,5,hip hop
Britney Spears,Everytime,230306,FALSE,2003,63,3,pop
U2,Vertigo,193520,FALSE,2004,64,9,"World/Traditional, rock"
Franz Ferdinand,Take Me Out,237026,FALSE,2004,77,4,rock
J-Kwon,Tipsy - Club Mix,247106,TRUE,2001,59,9,"hip hop, pop"
G-Unit,Wanna Get To Know You,265026,TRUE,2003,61,10,"hip hop, pop"
Lil' Flip,Sunshine (feat. Lea),225173,TRUE,2004,42,0,"hip hop, pop"
Kanye West,Jesus Walks,193733,TRUE,2004,73,3,hip hop
Evanescence,My Immortal,262533,FALSE,2003,72,9,metal
Nelly,My Place,336506,TRUE,2004,57,1,"hip hop, pop, R&B"
Lemar,If There's Any Justice,229080,FALSE,2004,46,6,R&B
No Doubt,It's My Life,226053,FALSE,2003,60,8,"rock, pop"
Avril Lavigne,Don't Tell Me,202013,FALSE,2004,58,4,pop
Twista,Slow Jamz,316053,TRUE,2004,72,2,"hip hop, pop, R&B"
Green Day,American Idiot,176346,TRUE,2004,77,1,rock
Kelis,Millionaire,224933,FALSE,2003,57,11,"pop, R&B, Dance/Electronic"
Scissor Sisters,Comfortably Numb,266040,FALSE,2004,43,7,"pop, rock, Dance/Electronic"
Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),284160,FALSE,2003,55,8,"pop, R&B"
Kanye West,Through The Wire,221226,TRUE,2004,76,7,hip hop
Special D.,Come With Me - Radio Edit,185133,FALSE,2004,61,7,pop
Ludacris,Splash Waterfalls,290760,TRUE,2003,48,11,"hip hop, pop"
Avril Lavigne,My Happy Ending,242413,TRUE,2004,68,2,pop
Dido,White Flag,240040,FALSE,2003,44,5,pop
Eamon,Fuck It (I Don't Want You Back),225106,TRUE,2004,64,0,set()
Beyoncé,"Me, Myself and I",301133,FALSE,2003,62,1,"pop, R&B"
3 Doors Down,Here Without You,238733,FALSE,2002,74,10,"pop, rock, metal"
Kanye West,All Falls Down,223506,TRUE,2004,80,8,hip hop
Twista,Sunshine (feat. Anthony Hamilton),226013,TRUE,2004,56,11,"hip hop, pop, R&B"
Katie Melua,The Closest Thing to Crazy,252466,FALSE,2003,55,4,"pop, easy listening, jazz"
Usher,My Boo,223440,FALSE,2004,76,5,"hip hop, pop, R&B"
Lloyd,Southside,277840,FALSE,2004,59,9,"hip hop, pop, R&B"
LMC,Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit,171546,FALSE,2004,59,6,Dance/Electronic
The Streets,Fit but You Know It,254266,TRUE,2004,58,6,"hip hop, Dance/Electronic"
JUVENILE,Slow Motion,248200,TRUE,2003,64,0,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),234000,TRUE,2003,66,5,"hip hop, pop"
Girls Aloud,Love Machine,205360,FALSE,2004,59,7,"pop, Dance/Electronic"
Jessica Simpson,With You,191826,FALSE,2003,57,0,"pop, R&B"
Eminem,Like Toy Soldiers,296880,TRUE,2004,48,8,hip hop
Gary Jules,Mad World (Feat. Michael Andrews),189506,FALSE,2001,65,3,pop
Ashlee Simpson,Pieces Of Me,217440,FALSE,2004,56,2,pop
Will Young,Leave Right Now,214733,FALSE,2003,55,6,pop
Alicia Keys,You Don't Know My Name,366733,FALSE,2003,61,9,"pop, R&B"
Mariah Carey,We Belong Together,201400,FALSE,2005,69,0,"pop, R&B"
Mario,Let Me Love You,256733,FALSE,2004,72,7,"pop, R&B"
Kanye West,Gold Digger,207626,TRUE,2005,78,1,hip hop
Rihanna,Pon de Replay,246960,FALSE,2005,77,7,"hip hop, pop, R&B"
50 Cent,Candy Shop,209106,TRUE,2005,79,11,"hip hop, pop"
James Blunt,You're Beautiful,209493,TRUE,2005,75,0,pop
Green Day,Boulevard of Broken Dreams,261266,TRUE,2004,72,8,rock
The Pussycat Dolls,Don't Cha,272080,FALSE,2005,72,1,"pop, R&B"
Daniel Powter,Bad Day,233640,FALSE,2005,74,3,pop
Akon,Bananza (Belly Dancer),238493,FALSE,2004,28,10,pop
Madonna,Hung Up,337733,FALSE,2005,74,9,pop
50 Cent,Just A Lil Bit,237706,TRUE,2005,76,1,"hip hop, pop"
Crazy Frog,Axel F,168879,FALSE,2005,67,2,pop
Eminem,Ass Like That,265480,TRUE,2004,52,2,hip hop
Sean Paul,We Be Burnin',213066,FALSE,2005,59,1,"hip hop, pop"
Gwen Stefani,Rich Girl,236213,FALSE,2004,68,7,"pop, R&B"
The Chemical Brothers,Galvanize,393813,FALSE,2005,63,7,Dance/Electronic
Fort Minor,Remember the Name (feat. Styles of Beyond),230493,TRUE,2005,73,8,"hip hop, pop, rock"
50 Cent,Disco Inferno,214226,TRUE,2005,72,3,"hip hop, pop"
The Game,How We Do,235533,TRUE,2005,74,4,"hip hop, pop"
Chris Brown,Run It! (feat. Juelz Santana),229866,FALSE,2005,71,1,"hip hop, pop, R&B"
Mariah Carey,It's Like That,203360,FALSE,2005,0,8,"pop, R&B"
Black Eyed Peas,My Humps,326960,FALSE,2005,67,1,"hip hop, pop"
Ciara,Oh (feat. Ludacris),256346,FALSE,2004,61,7,"pop, R&B"
50 Cent,Outta Control - Remix,247506,TRUE,2005,60,8,"hip hop, pop"
Baby Bash,"Baby, I'm Back",219920,TRUE,2005,4,9,"hip hop, pop, R&B, latin"
Jennifer Lopez,Get Right,225533,FALSE,2005,65,0,"hip hop, pop, R&B"
JAY-Z,Numb / Encore,205733,TRUE,2004,76,2,hip hop
The Game,Hate It Or Love It,206400,TRUE,2005,77,9,"hip hop, pop"
Gorillaz,Feel Good Inc.,222640,FALSE,2005,82,6,hip hop
Black Eyed Peas,Don't Phunk With My Heart,239773,FALSE,2005,62,5,"hip hop, pop"
Akon,Lonely,235800,TRUE,2004,21,5,pop
Bodyrockers,I Like The Way - Radio Edit,200053,FALSE,2005,54,6,"rock, Dance/Electronic"
Sugababes,Push The Button,218093,FALSE,2005,64,8,"pop, R&B"
Jeezy,Soul Survivor,280013,TRUE,2005,55,10,"hip hop, pop"
Eminem,Mockingbird,250760,TRUE,2004,77,0,hip hop
Shakira,La Tortura (feat. Alejandro Sanz),212893,FALSE,2005,72,0,"pop, latin"
Gorillaz,DARE,244999,FALSE,2005,73,11,hip hop
Snoop Dogg,Signs,236813,TRUE,2004,54,7,"hip hop, pop"
Robbie Williams,Tripping,276603,FALSE,2005,58,2,"pop, rock"
David Banner,Play,230133,TRUE,2005,52,1,"hip hop, pop"
Trillville,Some Cut,283454,TRUE,2004,50,1,"hip hop, pop"
D4L,Laffy Taffy,224253,TRUE,2005,63,7,"hip hop, pop"
Missy Elliott,Lose Control (feat. Ciara & Fat Man Scoop),226863,TRUE,2005,67,4,"hip hop, pop, R&B"
Rob Thomas,Lonely No More,226640,FALSE,2005,56,9,"pop, Folk/Acoustic"
Brian McFadden,Almost Here,229826,FALSE,2004,42,9,set()
Bobby V.,"Slow Down - 12"" Version",258666,FALSE,2005,65,11,"hip hop, pop, R&B"
Backstreet Boys,Incomplete,239586,FALSE,2005,63,4,pop
Pretty Ricky,Grind With Me,237733,TRUE,2005,63,1,"hip hop, pop, R&B"
Kanye West,Diamonds From Sierra Leone - Remix,233400,TRUE,2005,61,7,hip hop
Snoop Dogg,Drop It Like It's Hot,266066,TRUE,2004,39,1,"hip hop, pop"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,211320,FALSE,2005,41,1,"hip hop, pop"
Destiny's Child,Soldier (feat. T.I. & Lil' Wayne),325573,FALSE,2004,63,7,"pop, R&B"
Ciara,"1, 2 Step (feat. Missy Elliott) - Main",202213,FALSE,2005,52,5,"pop, R&B"
Amerie,1 Thing,238746,FALSE,2008,52,10,"hip hop, pop, R&B"
Ludacris,Get Back,270746,TRUE,2004,59,1,"hip hop, pop"
Franz Ferdinand,Do You Want To,215000,FALSE,2005,61,0,rock
Natalie Imbruglia,Shiver,222653,FALSE,2005,52,1,"pop, Folk/Acoustic"
Gwen Stefani,Hollaback Girl,199853,TRUE,2004,69,10,"pop, R&B"
Pretty Ricky,Your Body,240040,TRUE,2005,59,4,"hip hop, pop, R&B"
Thirty Seconds To Mars,The Kill,231533,FALSE,2005,74,4,rock
Alicia Keys,Karma,256000,FALSE,2003,50,10,"pop, R&B"
2Pac,Ghetto Gospel,238053,TRUE,2004,68,5,hip hop
Craig David,Don't Love You No More (I'm Sorry),243986,FALSE,2005,56,7,"hip hop, pop, R&B"
Katie Melua,Nine Million Bicycles,197160,FALSE,2005,60,0,"pop, easy listening, jazz"
Lil Jon & The East Side Boyz,Lovers And Friends,260600,TRUE,2004,66,10,"hip hop, pop"
Mariah Carey,Don't Forget About Us - Radio Edit,233866,FALSE,2005,0,10,"pop, R&B"
Ying Yang Twins,Wait (The Whisper Song),179160,TRUE,2005,57,7,"hip hop, pop"
Will Smith,Switch,197666,FALSE,2020,34,5,"hip hop, pop"
Bow Wow,Like You (feat. Ciara),205840,FALSE,2005,66,6,"hip hop, pop, R&B"
Kaiser Chiefs,Everyday I Love You Less And Less,217706,FALSE,2005,58,1,rock
Kelly Clarkson,Behind These Hazel Eyes,198973,FALSE,2004,59,9,"pop, R&B"
Black Eyed Peas,Don't Lie,219000,FALSE,2005,61,9,"hip hop, pop"
Westlife,You Raise Me Up,241066,FALSE,2005,1,10,pop
Ray J,One Wish,337640,FALSE,2005,62,5,"hip hop, pop, R&B"
Papa Roach,Scars,208199,FALSE,2004,60,11,"rock, metal"
Arctic Monkeys,I Bet You Look Good On The Dancefloor,173680,FALSE,2006,71,6,rock
Shayne Ward,That's My Goal,219600,FALSE,2006,1,2,pop
Bow Wow,Let Me Hold You (feat. Omarion),248493,FALSE,2005,62,6,"hip hop, pop, R&B"
Kaiser Chiefs,I Predict A Riot,233186,FALSE,2005,63,8,rock
Usher,Caught Up,224640,FALSE,2004,61,6,"hip hop, pop, R&B"
Kelly Clarkson,Because of You,219493,FALSE,2004,71,5,"pop, R&B"
3 Doors Down,Let Me Go,243053,FALSE,2012,52,1,"pop, rock, metal"
Nickelback,Photograph,258920,FALSE,2005,67,8,"rock, metal"
T-Pain,I'm Sprung,231040,FALSE,2005,0,0,"hip hop, pop, R&B"
Destiny's Child,Cater 2 U,245400,FALSE,2004,58,11,"pop, R&B"
The Pussycat Dolls,Stickwitu,207506,FALSE,2005,67,9,"pop, R&B"
Ryan Cabrera,TRUE,204173,FALSE,2004,62,6,pop
Stereophonics,Dakota,297426,FALSE,2005,69,4,"rock, pop"
Eminem,Like Toy Soldiers,296880,TRUE,2004,67,8,hip hop
Nelly,Over And Over,253933,TRUE,2004,61,7,"hip hop, pop, R&B"
Coldplay,Speed of Sound,287906,FALSE,2005,69,11,"rock, pop"
KT Tunstall,Suddenly I See,201706,FALSE,2005,71,0,"World/Traditional, pop, Folk/Acoustic"
Destiny's Child,Girl,224146,FALSE,2004,55,6,"pop, R&B"
Kelly Clarkson,Since U Been Gone,188960,FALSE,2004,71,9,"pop, R&B"
U2,Sometimes You Can't Make It On Your Own,305080,FALSE,2004,56,2,"World/Traditional, rock"
The All-American Rejects,Dirty Little Secret,193653,FALSE,2005,65,10,"rock, pop"
Toby Keith,As Good As I Once Was,227840,FALSE,2005,67,5,country
Gwen Stefani,Cool,189333,FALSE,2004,59,2,"pop, R&B"
Foo Fighters,Best of You,255626,FALSE,2005,76,1,"rock, metal"
Shakira,Hips Don't Lie (feat. Wyclef Jean),218093,FALSE,2005,82,10,"pop, latin"
Sean Paul,Temperature,218573,FALSE,2005,78,0,"hip hop, pop"
Justin Timberlake,SexyBack (feat. Timbaland),242733,TRUE,2006,78,7,pop
Beyoncé,Irreplaceable,227853,FALSE,2007,70,7,"pop, R&B"
Amy Winehouse,Rehab,214946,FALSE,2006,71,0,R&B
Rihanna,SOS,238920,FALSE,2006,73,7,"hip hop, pop, R&B"
Gnarls Barkley,Crazy,177466,FALSE,2006,74,8,"hip hop, R&B"
Busta Rhymes,Touch It,214960,TRUE,2006,61,1,"hip hop, pop"
Nelly Furtado,Maneater,258893,FALSE,2006,79,6,"hip hop, pop, latin"
Bob Sinclar,Rock This Party - Everybody Dance Now,245466,FALSE,2006,69,5,"pop, Dance/Electronic"
Diddy,Come to Me (feat. Nicole Scherzinger),276786,TRUE,2006,55,6,"hip hop, pop"
Madonna,Sorry,281880,FALSE,2005,61,0,pop
Chamillionaire,Ridin',303053,TRUE,2005,71,8,"hip hop, pop"
Black Eyed Peas,Pump It,213066,FALSE,2005,75,1,"hip hop, pop"
Nelly Furtado,Promiscuous,242293,FALSE,2006,82,10,"hip hop, pop, latin"
Fedde Le Grand,Put Your Hands Up for Detroit - Radio Edit,150533,FALSE,2015,39,7,"pop, Dance/Electronic"
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880,FALSE,2006,58,8,"hip hop, pop"
The Pussycat Dolls,Buttons,225560,FALSE,2005,68,2,"pop, R&B"
Ciara,Get Up (feat. Chamillionaire),261880,FALSE,2006,59,1,"pop, R&B"
Eminem,Shake That,274440,TRUE,2005,74,1,hip hop
Cherish,Do It To It,226293,FALSE,2006,65,2,"hip hop, pop, R&B"
Muse,Supermassive Black Hole,212439,FALSE,2006,75,7,rock
Chris Brown,Gimme That,186826,FALSE,2005,63,11,"hip hop, pop, R&B"
Infernal,From Paris to Berlin,209666,FALSE,2004,57,9,pop
Cassie,Me & U,192213,FALSE,2006,73,8,"pop, R&B"
E-40,U and Dat (feat. T. Pain & Kandi Girl),202720,TRUE,2006,63,6,"hip hop, pop"
The Pussycat Dolls,Beep,229360,FALSE,2005,57,7,"pop, R&B"
Lil Jon,Snap Yo Fingers,274386,FALSE,2006,67,8,"hip hop, pop"
Armand Van Helden,My My My - Radio Edit,190000,FALSE,2006,40,7,"pop, Dance/Electronic"
The Notorious B.I.G.,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",286186,TRUE,2005,68,2,hip hop
Yung Joc,It's Goin' Down (feat. Nitti),241840,TRUE,2006,66,1,"hip hop, pop"
Shayne Ward,No Promises,223066,FALSE,2006,1,4,pop
Justin Timberlake,My Love (feat. T.I.),276160,FALSE,2006,72,11,pop
Nickelback,Savin' Me,219320,FALSE,2005,65,3,"rock, metal"
Nelly,Grillz,271160,FALSE,2005,60,4,"hip hop, pop, R&B"
Take That,Patience,202066,FALSE,2006,64,10,pop
Fergie,London Bridge,241306,TRUE,2006,57,1,"pop, R&B"
Cascada,Everytime We Touch - Radio Edit,199120,FALSE,2011,0,8,"hip hop, pop, Dance/Electronic"
D4L,Laffy Taffy,224253,TRUE,2005,63,7,"hip hop, pop"
LL Cool J,Control Myself,233973,FALSE,2006,42,10,"hip hop, pop, R&B"
Beyoncé,Deja Vu (feat. Jay-Z),240280,FALSE,2007,57,7,"pop, R&B"
P!nk,Stupid Girls,197173,TRUE,2006,0,4,pop
Eminem,When I'm Gone,281320,TRUE,2005,68,10,hip hop
Kelis,Bossy,273973,FALSE,2006,50,4,"pop, R&B, Dance/Electronic"
Bob Sinclar,Love Generation - Radio Edit,207613,FALSE,2005,49,1,"pop, Dance/Electronic"
Meck,Thunder in My Heart Again (Radio Edit),189800,FALSE,2005,46,2,set()
Mary J. Blige,Be Without You - Kendu Mix,246333,TRUE,2005,69,2,"pop, R&B"
Girls Aloud,Something Kinda Ooooh,201590,FALSE,2012,49,11,"pop, Dance/Electronic"
Rihanna,Unfaithful,226973,FALSE,2006,70,0,"hip hop, pop, R&B"
Kanye West,Touch The Sky,236600,TRUE,2005,73,9,hip hop
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",229813,TRUE,2006,60,5,"hip hop, pop"
Evanescence,Call Me When You're Sober,214706,FALSE,2006,65,7,metal
Chingy,Pullin' Me Back,234133,TRUE,2006,62,7,"hip hop, pop, R&B"
Nickelback,Far Away,238173,FALSE,2005,70,6,"rock, metal"
Fall Out Boy,"Dance, Dance",180266,FALSE,2005,74,11,rock
Leona Lewis,A Moment Like This,257293,FALSE,2007,57,8,"pop, R&B"
T.I.,What You Know,274333,TRUE,2006,64,11,"hip hop, pop"
Ludacris,Money Maker,230613,TRUE,2006,62,1,"hip hop, pop"
Nick Lachey,What's Left Of Me,244613,FALSE,2006,37,7,pop
Jibbs,Chain Hang Low,207586,TRUE,2006,56,4,"hip hop, pop"
Arctic Monkeys,When The Sun Goes Down,202133,TRUE,2006,72,11,rock
Rascal Flatts,Life is a Highway,276773,FALSE,2006,0,5,country
Beyoncé,Check On It (feat. Slim Thug),211186,FALSE,2006,45,7,"pop, R&B"
Keyshia Cole,Love,255333,FALSE,2005,72,5,"hip hop, pop, R&B"
Lily Allen,Smile,196893,TRUE,2006,68,5,pop
Ne-Yo,Sexy Love,220853,FALSE,2006,67,8,"pop, R&B"
JoJo,Too Little Too Late,223680,FALSE,2006,48,6,"hip hop, pop, R&B"
Mary J. Blige,One,260466,FALSE,2005,64,0,"pop, R&B"
Bubba Sparxxx,Ms. New Booty,252653,TRUE,2005,62,1,"hip hop, pop, country"
Amy Winehouse,You Know I'm No Good,256946,FALSE,2006,63,9,R&B
Rascal Flatts,What Hurts The Most,214106,FALSE,2006,69,5,country
Red Hot Chili Peppers,Dani California,282160,FALSE,2006,76,0,rock
Scissor Sisters,I Don't Feel Like Dancin',288360,FALSE,2006,63,7,"pop, rock, Dance/Electronic"
Ne-Yo,So Sick,207186,FALSE,2006,75,6,"pop, R&B"
Hinder,Lips Of An Angel,261053,FALSE,2019,35,2,"pop, rock, metal"
The Raconteurs,"Steady, As She Goes",215266,FALSE,2006,56,9,rock
The Fratellis,Chelsea Dagger,215306,FALSE,2006,68,7,rock
Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga),231866,TRUE,2005,42,1,"hip hop, pop, rock"
The Pussycat Dolls,Stickwitu,207506,FALSE,2005,67,9,"pop, R&B"
