artist,Track,duration_ms,explicit,year,popularity,key,genre
Christina Aguilera,"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",264893,FALSE,2001,68,5,pop
Nelly Furtado,I'm Like A Bird,243160,FALSE,2000,1,10,"hip hop, pop, latin"
Shakira,"Whenever, Wherever",196160,FALSE,2001,74,1,"pop, latin"
Jimmy Eat World,The Middle,165853,FALSE,2001,78,2,"rock, pop"
Train,Drops of Jupiter (Tell Me),259933,FALSE,2001,77,0,pop
Geri Halliwell,It's Raining Men,254640,FALSE,2001,62,5,pop
Blu Cantrell,Hit 'Em Up Style (Oops!),250706,FALSE,2001,71,5,"pop, R&B"
Britney Spears,I'm a Slave 4 U,203600,FALSE,2001,69,5,pop
Kylie Minogue,In Your Eyes,197826,FALSE,2001,62,6,"pop, Dance/Electronic"
Missy Elliott,One Minute Man (feat. Ludacris),252986,TRUE,2001,57,9,"hip hop, pop, R&B"
Mary J. Blige,Family Affair,265866,FALSE,2001,76,8,"pop, R&B"
Faithless,We Come 1 - Radio Edit,222435,FALSE,2015,53,5,"pop, Dance/Electronic"
Limp Bizkit,Rollin' (Air Raid Vehicle),213760,TRUE,2000,73,1,metal
Lasgo,Something,220973,FALSE,2001,65,7,pop
iio,Rapture (feat.Nadia Ali),253586,FALSE,2006,54,8,Dance/Electronic
Emma Bunton,What Took You So Long?,241000,FALSE,2001,54,9,pop
112,It's Over Now,264933,FALSE,2001,57,1,"hip hop, pop, R&B"
Blue,All Rise,223546,FALSE,2001,63,5,pop
Jessica Simpson,Irresistible,194026,FALSE,2001,43,8,"pop, R&B"
Crazy Town,Butterfly,216733,FALSE,1999,71,9,"rock, metal"
Michael Jackson,You Rock My World,337733,FALSE,2001,64,4,"pop, R&B"
Eve,Let Me Blow Ya Mind,230133,TRUE,2001,73,8,"hip hop, pop, R&B"
Jennifer Lopez,Ain't It Funny,246160,FALSE,2001,0,5,"hip hop, pop, R&B"
Brandy,Another Day in Paradise - R&B-Version,271626,FALSE,2002,50,6,"hip hop, pop, R&B"
Nickelback,How You Remind Me,223840,FALSE,2001,78,10,"rock, metal"
Daft Punk,One More Time,320357,FALSE,2001,76,2,"hip hop, Dance/Electronic"
Outkast,Ms. Jackson,270506,TRUE,2000,82,4,"hip hop, pop"
Fragma,Everytime You Need Me - Radio Version,213346,FALSE,2001,50,11,"pop, Dance/Electronic"
Mariah Carey,Loverboy,229173,FALSE,2001,42,1,"pop, R&B"
Dido,Thank You,218360,FALSE,1999,73,1,pop
Joe,Stutter (feat. Mystikal) - Double Take Remix,213026,FALSE,2000,57,6,"pop, R&B"
P.O.D.,Youth of the Nation,256240,FALSE,2001,69,8,"rock, metal"
Jennifer Lopez,Play,211493,TRUE,2001,57,1,"hip hop, pop, R&B"
Missy Elliott,Get Ur Freak On,211120,TRUE,2001,68,0,"hip hop, pop, R&B"
Ricky Martin,Nobody Wants to Be Lonely (with Christina Aguilera),252706,FALSE,2008,52,10,"pop, latin"
Christina Milian,AM To PM,231213,FALSE,2001,60,10,"hip hop, pop, R&B"
Roger Sanchez,Another Chance,452906,FALSE,2000,50,3,Dance/Electronic
Gorillaz,Clint Eastwood,340920,TRUE,2001,74,10,hip hop
2Pac,Until The End Of Time,266506,TRUE,2001,57,8,hip hop
Tamia,Stranger in My House,285386,FALSE,2000,48,0,"pop, R&B"
Mary J. Blige,No More Drama,326240,FALSE,2001,61,6,"pop, R&B"
Jennifer Lopez,Love Don't Cost a Thing,221226,FALSE,2001,67,4,"hip hop, pop, R&B"
Jamiroquai,Little L,295400,FALSE,2001,65,10,pop
Case,Missing You,284666,FALSE,2001,55,1,"hip hop, pop, R&B"
112,Peaches & Cream,193093,FALSE,2001,63,4,"hip hop, pop, R&B"
Five,Let's Dance - Radio Edit,218626,FALSE,2001,47,4,pop
Rui Da Silva,Touch Me (Radio Edit) [feat. Cassandra],213133,FALSE,2001,54,0,Dance/Electronic
Alien Ant Farm,Smooth Criminal,209266,FALSE,2001,75,9,"rock, metal"
Erick Sermon,Music (feat. Marvin Gaye),223133,TRUE,2001,57,10,"hip hop, pop"
D12,Purple Pills,304506,TRUE,2001,68,1,"hip hop, pop, rock"
Usher,Pop Ya Collar - Radio Edit,210813,FALSE,2016,26,5,"hip hop, pop, R&B"
Madonna,Don't Tell Me,280973,FALSE,2000,53,7,pop
Blue,If You Come Back,207560,FALSE,2001,58,10,pop
Atomic Kitten,Eternal Flame - Single Version,195506,FALSE,2001,58,0,pop
Jagged Edge,Where the Party At (feat. Nelly),232573,FALSE,2001,67,5,"hip hop, pop, R&B"
Afroman,Because I Got High,197760,TRUE,2001,68,7,hip hop
S Club 7,Don't Stop Movin',233626,FALSE,2001,63,7,pop
Craig David,Fill Me In,257200,FALSE,2000,60,8,"hip hop, pop, R&B"
Nelly Furtado,Turn Off The Light,276106,FALSE,2000,1,2,"hip hop, pop, latin"
The Supermen Lovers,Starlight - Radio Edit,234400,FALSE,2001,61,0,Dance/Electronic
Mis-Teeq,All I Want - Sunship Radio Edit,207400,FALSE,2004,46,9,"pop, Dance/Electronic"
Jagged Edge,Promise,246720,FALSE,2000,56,5,"hip hop, pop, R&B"
S Club 7,Have You Ever,201533,FALSE,2001,60,0,pop
Enya,Only Time,218546,FALSE,2000,69,3,"World/Traditional, Folk/Acoustic"
Faith Hill,There You'll Be,222120,FALSE,2001,60,8,"pop, country"
Ronan Keating,Lovin' Each Day,212973,FALSE,2000,58,1,"pop, rock"
Destiny's Child,Bootylicious,207906,FALSE,2001,64,1,"pop, R&B"
Steps,It's the Way You Make Me Feel,197360,FALSE,2000,53,8,"pop, Dance/Electronic"
Sunshine Anderson,Heard It All Before,295826,FALSE,2001,56,3,"pop, R&B"
Lenny Kravitz,Again,231666,FALSE,2000,68,2,"rock, pop"
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,162333,FALSE,2002,46,7,pop
DB Boulevard,Point Of View - Radio Edit,231166,FALSE,2018,0,6,Dance/Electronic
Janet Jackson,All For You,329933,FALSE,2001,65,2,"pop, R&B"
Atomic Kitten,Whole Again,185013,FALSE,2001,66,4,pop
Ja Rule,Livin' It Up,257066,FALSE,2001,64,6,"hip hop, pop, R&B"
Destiny's Child,"Independent Women, Pt. 1",221133,FALSE,2001,65,6,"pop, R&B"
